에스티미디어,인천 ,(주)에스티미디어,"설립일                            2015년 03월 06일                                (업력 7년)대표자명윤민수업종응용 소프트웨어 개발 및 공급업기업주소경기 파주시 교하로159번길 33, 3층 304호-에이033",중소기업,업력 8년차
제이엘씨,인천 ,(주)제이엘씨,설립일                            2003년 06월 24일                                (업력 19년)대표자명이상인업종그 외 기타 전자부품 제조업재무정보매출액 15억원▲영업이익 1억원▲(2019년 기준)전체평균연봉4000만원▲                                                            (2019년 기준)전체기업주소경북 구미시 산동면 첨단기업5로 10-73,"15억 6,208만원",중소기업
(유)케이엔에스공조,광산구,(유)케이엔에스공조,"설립일                            2020년 10월 29일                                (업력 2년)대표자명박수경업종가전제품 및 부품 도매업기업주소광주 광산구 하남산단6번로 57, 지식동 에이-511호",중소기업,업력 3년차
(주)나래에스앤아이,광산구,(주)나래에스앤아이,"설립일                            2004년 08월 26일                                (업력 18년)대표자명이성준업종배전반 및 전기 자동제어반 제조업재무정보매출액 10억원▲영업이익 2500만원▲(2020년 기준)전체평균연봉4500만원▲                                                            (2020년 기준)전체기업주소광주 광산구 하남산단6번로 57, B동 412호","11억 9,609만원",3명
(주)씨에너지,광산구,(주)씨에너지,"설립일                            2009년 06월 12일                                (업력 13년)대표자명오석인업종농업 및 임업용 기계 제조업재무정보매출액 50억원▲영업이익 15억원▲(2021년 기준)전체기업주소광주 광산구 하남산단6번로 57, A동 1216호","51억 7,700만원",4명
강명신,광산구,(주)센테리움이앤씨,"설립일                            2010년 12월 07일                                (업력 12년)대표자명강명신업종단독 주택 건설업재무정보매출액 15억원▲(2021년 기준)전체평균연봉7000만원▲                                                            (2021년 기준)전체기업주소서울 강남구 테헤란로 410, 2003호","17억 3,582만원",8명
남양엔지니어링,광산구,(주)남양엔지니어링,대표자명홍승옥업종공기 조화장치 제조업재무정보매출액 80억원▲영업이익 5억원▲(2016년 기준)전체기업주소경기 수원시 권선구 산업로155번길 280-46,"80억 4,995만원",2명
다원솔루션,광산구,(주)다원솔루션,"설립일                            2020년 11월 27일                                (업력 2년)대표자명김원식업종육상 금속 골조 구조재 제조업기업주소충남 천안시 동남구 터미널4길 38, 지하층",중소기업,업력 3년차
비거드림,광산구,비거드림에 대한 검색결과 없음,비거드림에 대한 검색결과 없음,비거드림에 대한 검색결과 없음,비거드림에 대한 검색결과 없음
비이테크,광산구,농업회사법인(주)비이테크,설립일                            2015년 09월 21일                                (업력 7년)대표자명허인구업종유기질 비료 및 상토 제조업평균연봉5500만원▲                                                            (2016년 기준)전체기업주소전북 남원시 대강면 섬진로 1200-27,중소기업,업력 8년차
서인자,광산구,엘티박막(주),"설립일                            2013년 04월 23일                                (업력 9년)대표자명서인자업종디스플레이 제조용 기계 제조업재무정보매출액 5000만원▲(2016년 기준)전체기업주소경기 용인시 기흥구 구갈로60번길 11, 5층 502-2호","6,591만원",3명
신근용,광산구,친환경영농조합법인,설립일                            2006년 02월 16일                                (업력 16년)대표자명신근용업종곡물 및 기타 식량작물 재배업기업주소강원 횡성군 청일면 청일로1128번길 76,중소기업,업력 17년차
씨에이치티,광산구,(주)씨에이치티,"설립일                            2008년 01월 15일                                (업력 14년)대표자명홍용은업종반도체 제조용 기계 제조업재무정보매출액 7억원▲영업이익 5000만원▲(2019년 기준)전체평균연봉4000만원▲                                                            (2019년 기준)전체기업주소경기 화성시 정남면 망월길 34, 1동","7억 7,262만원",4명
에어몬솔루션,광산구,에어몬솔루션에 대한 검색결과 없음,에어몬솔루션에 대한 검색결과 없음,에어몬솔루션에 대한 검색결과 없음,에어몬솔루션에 대한 검색결과 없음
예스컨설팅,광산구,(주)예스콘컨설팅,"설립일                            2014년 10월 29일                                (업력 8년)대표자명김창수업종그 외 기타 분류 안된 사업지원 서비스업재무정보매출액 60억원▲영업이익 5000만원▲(2020년 기준)전체평균연봉3500만원▲                                                            (2020년 기준)전체기업주소경북 구미시 1공단로 212, 603호","66억 6,150만원",5명
윤정웅,광산구,화광교역(주),설립일                            1979년 01월 10일                                (업력 43년)대표자명윤정웅업종전기용 기계ㆍ장비 및 관련 기자재 도매업재무정보매출액 250억원▲영업이익 20억원▲(2021년 기준)전체평균연봉6000만원▲                                                            (2021년 기준)전체기업주소서울 강남구 역삼로 239,"258억 7,921만원",51명
이란영,광산구,(주)에스지종합건설,"설립일                            2012년 06월 19일                                (업력 10년)대표자명이란영업종아파트 건설업재무정보매출액 50억원▲영업이익 4억원▲(2019년 기준)전체평균연봉2000만원▲                                                            (2019년 기준)전체기업주소전남 목포시 정의로 14, 3층 303호","51억 4,142만원",7명
정성용,광산구,캣치독팀,"대표자명정성용업종그 외 기타 협회 및 단체기업주소경기 양주시 광적면 부흥로 847, 316동 17호",5명,기타
케이비아이 평가센터,광산구,케이비아이 평가센터에 대한 검색결과 없음,케이비아이 평가센터에 대한 검색결과 없음,케이비아이 평가센터에 대한 검색결과 없음,케이비아이 평가센터에 대한 검색결과 없음
태민솔루션,광산구,태민솔루션에 대한 검색결과 없음,태민솔루션에 대한 검색결과 없음,태민솔루션에 대한 검색결과 없음,태민솔루션에 대한 검색결과 없음
토스경영연구원,광산구,토스경영연구원에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,토스경영연구원에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,토스경영연구원에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.,토스경영연구원에 대한 검색작업 중 예상치 못한 오류가 발생했습니다.
